Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/12  02:00:00,4.330367685,4.332292335,4.330599217,4.330435776,4.330429496
 01/12  03:00:00,3.208390555,3.211353368,3.208741761,3.208486473,3.208482574
 01/12  04:00:00,6.11710647,6.117817962,6.117176685,6.11712077,6.117119973
 01/12  05:00:00,3.61206752,3.612308328,3.612087892,3.612069319,3.612069523
 01/12  06:00:00,4.484469592,4.48481913,4.484483913,4.484458084,4.484458719
 01/12  07:00:00,2.348853967,2.348318448,2.348830857,2.348870489,2.348870065
 01/12  08:00:00,0.906727377,0.906843733,0.906735151,0.90672085,0.906729723
 01/12  09:00:00,1.016355666,1.016695444,1.016374091,1.01633633,1.016354422
 01/12  10:00:00,1.211726506,1.211639841,1.21172378,1.211731965,1.211727174
 01/12  11:00:00,1.14864278,1.148690072,1.14865508,1.148638449,1.148640036
 01/12  12:00:00,1.218745339,1.218728256,1.218749496,1.218745784,1.218741052
 01/12  13:00:00,1.214286387,1.214303874,1.21429043,1.214290606,1.214285768
 01/12  14:00:00,1.099794766,1.099794014,1.099795088,1.099802419,1.09979083
 01/12  15:00:00,1.214116397,1.214063515,1.214110413,1.214123409,1.214117912
 01/12  16:00:00,1.18827754,1.188267388,1.188273047,1.188285662,1.188279548
 01/12  17:00:00,1.148316266,1.148334177,1.148311734,1.148326357,1.148316529
 01/12  18:00:00,1.234602561,1.234503104,1.234590743,1.234591655,1.234603845
 01/12  19:00:00,0.913589115,0.912542607,0.913499168,0.913586294,0.913617921
 01/12  20:00:00,2.713214617,2.712095905,2.713129561,2.713216419,2.713237358
 01/12  21:00:00,2.472404038,2.471777442,2.472331278,2.472391218,2.472398443
 01/12  22:00:00,2.742046057,2.74184766,2.742022989,2.742043263,2.742044936
 01/12  23:00:00,2.541549697,2.540898324,2.541475244,2.5415402,2.541548951
 01/12  24:00:00,2.300937519,2.301185161,2.30096256,2.300938977,2.300934418
 01/13  01:00:00,3.974366474,3.974615423,3.974395517,3.974372377,3.97436575
 01/13  02:00:00,4.005313687,4.005727452,4.00535755,4.00531834,4.005310074
 01/13  03:00:00,3.930157387,3.931356177,3.930250833,3.930146263,3.930117007
 01/13  04:00:00,6.110370935,6.110514834,6.110377416,6.110367119,6.110364076
 01/13  05:00:00,7.795614745,7.7966911,7.79567965,7.795595134,7.795570045
 01/13  06:00:00,4.618726157,4.619025656,4.618735903,4.618714741,4.618708803
 01/13  07:00:00,2.384173822,2.383818939,2.384162698,2.384187745,2.384194867
 01/13  08:00:00,0.948150553,0.948275912,0.94816264,0.948145351,0.948157455
 01/13  09:00:00,1.057636815,1.057772139,1.057653187,1.057632016,1.057646796
