Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/18  08:00:00,30990719.950917834,19737496.957708345 
 01/18  09:00:00,12527207.95091783,16794455.273465396 
 01/18  10:00:00,12527207.95091783,9839233.249076192 
 01/18  11:00:00,13267428.52808073,3711106.4689751157 
 01/18  12:00:00,15980673.532316428,1765249.9002826622 
 01/18  13:00:00,18083051.67100054,1765208.5857508605 
 01/18  14:00:00,18938055.133204596,3458704.51139776 
 01/18  15:00:00,18161082.683737916,1765265.8349177265 
 01/18  16:00:00,17142570.953632107,1765124.4348232765 
 01/18  17:00:00,16314410.56569835,1765180.80140949 
 01/18  18:00:00,37720854.08143009,3458245.58094845 
 01/18  19:00:00,34580257.57450944,1765091.5217836323 
 01/18  20:00:00,34580257.57450944,1765120.640679925 
 01/18  21:00:00,34580257.57450944,1765147.0286837656 
 01/18  22:00:00,34580257.57450944,3458635.019462833 
 01/18  23:00:00,34580257.57450944,1765140.0519390202 
 01/18  24:00:00,34580257.57450944,3458263.156613528 
 01/19  01:00:00,34580257.57450944,1765132.8560608789 
 01/19  02:00:00,34580257.57450944,1765170.9107524884 
 01/19  03:00:00,34580257.57450944,1765092.0253338558 
 01/19  04:00:00,34580257.57450944,3458315.703511275 
 01/19  05:00:00,34580257.57450944,1765097.7165516085 
 01/19  06:00:00,40222475.95091783,18743026.22752568 
 01/19  07:00:00,40222475.95091783,24257946.27701357 
 01/19  08:00:00,30990719.950917834,22530635.075056688 
 01/19  09:00:00,12527207.95091783,22517126.68980604 
 01/19  10:00:00,12527207.95091783,21244984.431606398 
 01/19  11:00:00,12527207.95091783,13962306.74972469 
 01/19  12:00:00,12527207.95091783,8600420.25954893 
 01/19  13:00:00,12875378.552070784,4016297.9642349586 
 01/19  14:00:00,14825243.13984959,1765216.8524740928 
 01/19  15:00:00,15792405.169377217,3458424.2144243905 
 01/19  16:00:00,15425400.573315939,1765187.6649972148 
 01/19  17:00:00,14265928.360016136,1765045.796230549 
 01/19  18:00:00,36040895.99573655,1765058.245267888 
 01/19  19:00:00,34580257.57450944,3458199.9277794568 
 01/19  20:00:00,34580257.57450944,1765148.2424790397 
 01/19  21:00:00,34580257.57450944,1765171.8844959087 
 01/19  22:00:00,34580257.57450944,3458521.6512708768 
 01/19  23:00:00,34580257.57450944,1765189.413044291 
 01/19  24:00:00,34580257.57450944,1765130.4750756138 
 01/20  01:00:00,34580257.57450944,3458467.7032133669 
 01/20  02:00:00,34580257.57450944,1765171.1313503008 
 01/20  03:00:00,34580257.57450944,1765125.3187286219 
 01/20  04:00:00,34580257.57450944,3458467.406092108 
 01/20  05:00:00,34580257.57450944,1765176.9731811598 
 01/20  06:00:00,47107465.52542727,137222098.32706083 
 01/20  07:00:00,47107465.52542727,135330390.31937278 
 01/20  08:00:00,65415667.82346502,97642505.91238143 
 01/20  09:00:00,105272079.3175783,154186844.69364906 
 01/20  10:00:00,105272079.3175783,117036760.52775744 
 01/20  11:00:00,105272079.3175783,160408580.7594821 
 01/20  12:00:00,105272079.3175783,101930147.19142586 
 01/20  13:00:00,105272079.3175783,58291953.07991167 
 01/20  14:00:00,105272079.3175783,133567206.30972144 
 01/20  15:00:00,105272079.3175783,83370032.98694189 
 01/20  16:00:00,105272079.3175783,78145308.75813069 
 01/20  17:00:00,105272079.3175783,124637588.56902814 
 01/20  18:00:00,82991533.2815028,59736960.549029197 
 01/20  19:00:00,74647423.82346502,39535798.01344055 
 01/20  20:00:00,74647423.82346502,87609627.29863392 
 01/20  21:00:00,60877444.67444614,110983171.28822725 
 01/20  22:00:00,60877444.67444614,120222022.78317508 
 01/20  23:00:00,47107465.52542727,118912597.58511254 
 01/20  24:00:00,40222475.95091783,122575942.11565228 
 01/21  01:00:00,34580257.57450944,1765203.9684953609 
 01/21  02:00:00,34580257.57450944,1765155.9273892588 
 01/21  03:00:00,34580257.57450944,3458476.319844046 
 01/21  04:00:00,34580257.57450944,1765180.8336420204 
 01/21  05:00:00,34580257.57450944,3458412.545687667 
